用户ID,特征,清洁效率,耗材,对比,时间
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：88%
日均清扫：54㎡
避障失败：2次/月（电线缠绕）
清洁状态稳定","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频
建议：本月进行主刷/边刷例行检查",较上月覆盖率下降3%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-09
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：89%
日均清扫：50㎡
避障失败：2次/月（电线缠绕）
换季浮尘增加，建议增加拖地频次","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-10
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：90%
日均清扫：52㎡
避障失败：2次/月（电线缠绕）
换季浮尘增加，建议增加拖地频次","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-11
1002,70㎡公寓 | 情侣 | 瓷砖,"覆盖率：91%
日均清扫：54㎡
避障失败：2次/月（电线缠绕）
清洁状态稳定","边刷磨损：中度
尘盒清理：每2天
拖布功能使用：高频
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；拖地使用率较高；建议清洁前整理充电线和数据线，降低缠绕风险,2025-12
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：91%
日均清扫：58㎡
地毯增压使用：15次/月
春节前后杂物增加，建议开启重点区域清扫","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
宠物毛发负载：偏高",宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-01
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：92%
日均清扫：60㎡
地毯增压使用：15次/月
春节前后杂物增加，建议开启重点区域清扫","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-02
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：93%
日均清扫：62㎡
地毯增压使用：15次/月
清洁状态稳定","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
建议：本月进行主刷/边刷例行检查
宠物毛发负载：偏高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-03
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：94%
日均清扫：58㎡
地毯增压使用：15次/月
清洁状态稳定","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-04
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：91%
日均清扫：60㎡
地毯增压使用：15次/月
清洁状态稳定","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
宠物毛发负载：偏高",较上月覆盖率下降3%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-05
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：92%
日均清扫：62㎡
地毯增压使用：15次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-06
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：94%
日均清扫：58㎡
地毯增压使用：15次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
宠物毛发负载：偏高",较上月覆盖率提升2%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-07
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：95%
日均清扫：60㎡
地毯增压使用：15次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-08
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：92%
日均清扫：62㎡
地毯增压使用：15次/月
清洁状态稳定","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
建议：本月进行主刷/边刷例行检查
宠物毛发负载：偏高",较上月覆盖率下降3%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-09
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：93%
日均清扫：58㎡
地毯增压使用：15次/月
换季浮尘增加，建议增加拖地频次","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-10
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：94%
日均清扫：60㎡
地毯增压使用：15次/月
换季浮尘增加，建议增加拖地频次","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
宠物毛发负载：偏高",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-11
1003,90㎡ | 1狗 | 短毛地毯,"覆盖率：95%
日均清扫：62㎡
地毯增压使用：15次/月
清洁状态稳定","胶刷更换：剩余25天
尘盒容量：每日清理
毛发处理效率：高
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；宠物毛发负担较重；建议开启宠物清洁模式，并缩短主刷检查周期,2025-12
1004,85㎡ | 2猫 | 混合地面,"覆盖率：88%
日均清扫：54㎡
猫砂泼洒处理：8次/月
春节前后杂物增加，建议开启重点区域清扫","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
宠物毛发负载：偏高",猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-01
1004,85㎡ | 2猫 | 混合地面,"覆盖率：89%
日均清扫：56㎡
猫砂泼洒处理：8次/月
春节前后杂物增加，建议开启重点区域清扫","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-02
1004,85㎡ | 2猫 | 混合地面,"覆盖率：90%
日均清扫：58㎡
猫砂泼洒处理：8次/月
清洁状态稳定","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
建议：本月进行主刷/边刷例行检查
宠物毛发负载：偏高",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-03
1004,85㎡ | 2猫 | 混合地面,"覆盖率：91%
日均清扫：54㎡
猫砂泼洒处理：8次/月
清洁状态稳定","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-04
1004,85㎡ | 2猫 | 混合地面,"覆盖率：88%
日均清扫：56㎡
猫砂泼洒处理：8次/月
清洁状态稳定","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
宠物毛发负载：偏高",较上月覆盖率下降3%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-05
1004,85㎡ | 2猫 | 混合地面,"覆盖率：89%
日均清扫：58㎡
猫砂泼洒处理：8次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-06
1004,85㎡ | 2猫 | 混合地面,"覆盖率：91%
日均清扫：54㎡
猫砂泼洒处理：8次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
宠物毛发负载：偏高",较上月覆盖率提升2%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-07
1004,85㎡ | 2猫 | 混合地面,"覆盖率：92%
日均清扫：56㎡
猫砂泼洒处理：8次/月
夏季灰尘和毛发增多，建议提高滤网检查频率","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-08
1004,85㎡ | 2猫 | 混合地面,"覆盖率：89%
日均清扫：58㎡
猫砂泼洒处理：8次/月
清洁状态稳定","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
建议：本月进行主刷/边刷例行检查
宠物毛发负载：偏高",较上月覆盖率下降3%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-09
1004,85㎡ | 2猫 | 混合地面,"覆盖率：90%
日均清扫：54㎡
猫砂泼洒处理：8次/月
换季浮尘增加，建议增加拖地频次","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-10
1004,85㎡ | 2猫 | 混合地面,"覆盖率：91%
日均清扫：56㎡
猫砂泼洒处理：8次/月
换季浮尘增加，建议增加拖地频次","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
宠物毛发负载：偏高",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-11
1004,85㎡ | 2猫 | 混合地面,"覆盖率：92%
日均清扫：58㎡
猫砂泼洒处理：8次/月
清洁状态稳定","主刷缠绕：严重
滤网更换：紧急
自动回充成功率：88%
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；猫砂和毛发导致耗材压力大；建议升级吸力并增加尘盒清理频率,2025-12
1005,120㎡ | 老人 | 防滑砖,"覆盖率：93%
日均清扫：70㎡
手动操作占比：95%，定时清扫未使用
春节前后杂物增加，建议开启重点区域清扫","电池衰减：25%
水箱未激活
语音控制未配置",功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-01
1005,120㎡ | 老人 | 防滑砖,"覆盖率：94%
日均清扫：72㎡
手动操作占比：95%，定时清扫未使用
春节前后杂物增加，建议开启重点区域清扫","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-02
1005,120㎡ | 老人 | 防滑砖,"覆盖率：95%
日均清扫：74㎡
手动操作占比：95%，定时清扫未使用
清洁状态稳定","电池衰减：25%
水箱未激活
语音控制未配置
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-03
1005,120㎡ | 老人 | 防滑砖,"覆盖率：96%
日均清扫：70㎡
手动操作占比：95%，定时清扫未使用
清洁状态稳定","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-04
1005,120㎡ | 老人 | 防滑砖,"覆盖率：93%
日均清扫：72㎡
手动操作占比：95%，定时清扫未使用
清洁状态稳定","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率下降3%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-05
1005,120㎡ | 老人 | 防滑砖,"覆盖率：94%
日均清扫：74㎡
手动操作占比：95%，定时清扫未使用
夏季灰尘和毛发增多，建议提高滤网检查频率","电池衰减：25%
水箱未激活
语音控制未配置
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-06
1005,120㎡ | 老人 | 防滑砖,"覆盖率：96%
日均清扫：70㎡
手动操作占比：95%，定时清扫未使用
夏季灰尘和毛发增多，建议提高滤网检查频率","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升2%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-07
1005,120㎡ | 老人 | 防滑砖,"覆盖率：97%
日均清扫：72㎡
手动操作占比：95%，定时清扫未使用
夏季灰尘和毛发增多，建议提高滤网检查频率","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-08
1005,120㎡ | 老人 | 防滑砖,"覆盖率：94%
日均清扫：74㎡
手动操作占比：95%，定时清扫未使用
清洁状态稳定","电池衰减：25%
水箱未激活
语音控制未配置
建议：本月进行主刷/边刷例行检查",较上月覆盖率下降3%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-09
1005,120㎡ | 老人 | 防滑砖,"覆盖率：95%
日均清扫：70㎡
手动操作占比：95%，定时清扫未使用
换季浮尘增加，建议增加拖地频次","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-10
1005,120㎡ | 老人 | 防滑砖,"覆盖率：96%
日均清扫：72㎡
手动操作占比：95%，定时清扫未使用
换季浮尘增加，建议增加拖地频次","电池衰减：25%
水箱未激活
语音控制未配置",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-11
1005,120㎡ | 老人 | 防滑砖,"覆盖率：97%
日均清扫：74㎡
手动操作占比：95%，定时清扫未使用
清洁状态稳定","电池衰减：25%
水箱未激活
语音控制未配置
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；功能使用偏保守；建议设置固定清扫计划，并开启语音控制降低操作成本,2025-12
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：75%
日均清扫：82㎡
跨楼层失败：3次/月，玩具避障率：76%
春节前后杂物增加，建议开启重点区域清扫","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-01
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：76%
日均清扫：84㎡
跨楼层失败：3次/月，玩具避障率：76%
春节前后杂物增加，建议开启重点区域清扫","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-02
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：77%
日均清扫：86㎡
跨楼层失败：3次/月，玩具避障率：76%
清洁状态稳定","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-03
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：78%
日均清扫：82㎡
跨楼层失败：3次/月，玩具避障率：76%
清洁状态稳定","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
多层地图维护：建议重新校准",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-04
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：75%
日均清扫：84㎡
跨楼层失败：3次/月，玩具避障率：76%
清洁状态稳定","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",较上月覆盖率下降3%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-05
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：76%
日均清扫：86㎡
跨楼层失败：3次/月，玩具避障率：76%
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
建议：本月进行主刷/边刷例行检查",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-06
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：78%
日均清扫：82㎡
跨楼层失败：3次/月，玩具避障率：76%
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",较上月覆盖率提升2%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-07
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：79%
日均清扫：84㎡
跨楼层失败：3次/月，玩具避障率：76%
夏季灰尘和毛发增多，建议提高滤网检查频率","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
多层地图维护：建议重新校准",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-08
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：76%
日均清扫：86㎡
跨楼层失败：3次/月，玩具避障率：76%
清洁状态稳定","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
建议：本月进行主刷/边刷例行检查",较上月覆盖率下降3%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-09
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：77%
日均清扫：82㎡
跨楼层失败：3次/月，玩具避障率：76%
换季浮尘增加，建议增加拖地频次","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-10
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：78%
日均清扫：84㎡
跨楼层失败：3次/月，玩具避障率：76%
换季浮尘增加，建议增加拖地频次","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-11
1006,150㎡别墅 | 儿童 | 多层,"覆盖率：79%
日均清扫：86㎡
跨楼层失败：3次/月，玩具避障率：76%
清洁状态稳定","边刷更换：2次/季度
集尘袋消耗：1.2个/月
地图重建：偶发
建议：本月进行主刷/边刷例行检查
多层地图维护：建议重新校准",较上月覆盖率提升1%；多层和儿童玩具影响清洁连续性；建议分楼层建图并增加玩具识别区域,2025-12
